Variable,REGION,EMISSION,TECHNOLOGY,STORAGE,TIMESLICE,FUEL,SEASON,DAYTYPE,DAILYTIMEBRACKET,MODE_OF_OPERATION,REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
AccumulatedNewCapacity,Uganda,,UGWI25P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833782474274516,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
AccumulatedNewCapacity,Uganda,,UGWI30P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
AccumulatedNewStorageCapacity,Uganda,,,DAM,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualEmissions,Uganda,CO2,,,,,,,,,,0.158820090910029,0.204204957494793,0.215831008714471,0.268182083299986,0.319608377545652,0.366023300043788,0.435687240167282,0.505666377578516,0.580466624865086,0.656919259716775,0.733280007860233,0.160000740140298,0.320803963394689,0.348135993557619,0,0,0.00297820182947602,0,0.00132172339674778,0.444418330823465,0.000516911158941073,0,0.00323587394183645,0.0290502284014099,0.477143607007317,0.388273497835256,0,0,0.00479643501200435,0.484983228524885,0.0039642884890249,0,0.210572913488083,1.60912736530912,1.50895693853487,0.673670806719784,0,0.209767746548619,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGBACKSTOP,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGBM00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGBM00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGBMCHP00,,,,,,,,,2.16969904501,2.16969904501,2.16969904501,2.15767855161,2.545794290248,2.531532137268,2.517269983849,2.503007830869,2.488745677889,2.47448352447,2.46022137149,2.455467320643,2.450713270235,2.445959219388,2.441205168541,2.436451118133,2.431697067286,2.426943016439,2.422188966031,2.417434915184,2.412680864337,2.407926813929,2.403172763082,2.398418712235,2.393664661827,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,2.38891061098,
AnnualFixedOperatingCost,Uganda,,UGDS00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGDS00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGDSRCFR1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGDSRCFU1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGDSRCP03,,,,,,,,,0.8312,0.8312,0.8312,0.8312,0.8312,0.8312,0.82808,0.82496,0.82184,0.81872,0.8156,0.81248,0.80936,0.80624,0.80312,0.8,0.8,0.8,0.8,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGEL00EXP,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGEL00T00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGEL00TDC,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGEL00TDI,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGEL00TDR,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGEL00TDU,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGGOCVP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,13.9602201997692,20,20,20,20,20,20,20,20.0000000000001,20,20,20,20,20,20,20,20,20,20,
AnnualFixedOperatingCost,Uganda,,UGHF00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGHF00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGHFGCP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGHYDMS01,,,,,,,,,1.59763097442,1.745104602828,1.745104602828,2.109153172368,2.104517671404,2.099882169924,2.095246668444,2.090611166964,2.085975666,2.08134016452,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,2.07670466304,
AnnualFixedOperatingCost,Uganda,,UGHYDMS02,,,,,,,,,9.8463011174,9.8463011174,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.3241307999,16.6899572898626,26.9711471649325,26.9711471649325,26.9711471649325,28.8771383069819,28.8771383069819,44.1240038685694,44.1240038685694,44.1240038685694,44.1240038685694,44.1240038685694,44.1240038685694,44.1240038685694,44.1240038685694,44.1240038685695,44.9168940864973,72.1553468627141,74.1555064613589,74.1555064613589,74.1555064613589,107.0137463549,107.0137463549,107.0137463549,107.0137463549,107.0137463549,107.0137463549,107.0137463549,107.0137463549,107.0137463549,
AnnualFixedOperatingCost,Uganda,,UGNG00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGNG00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGNGCCP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226378281702774,0.00226378281702774,0.00226378281702743,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202195915715529,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,0.202427968554,
AnnualFixedOperatingCost,Uganda,,UGNGGCP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58038359799885,1.58038359799885,1.58038359799885,1.58038359799885,1.58038359799885,1.58038359799885,1.58038359799885,1.58038359799885,
AnnualFixedOperatingCost,Uganda,,UGNULWP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGSOC1P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGSOC2P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74757083979904,5.35653144961584,5.35653144961584,5.35653144961584,16.8373231793541,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,20.88876365,
AnnualFixedOperatingCost,Uganda,,UGSOPV,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGSOU1P03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8.82181241543089,8.79616761445842,8.77052280963922,8.74487800482003,8.71923320384755,8.69358839902835,8.66794359420915,11.233333335,11.2,11.166666665,11.133333335,11.1,11.066666665,11.033333335,11,11,11,11,11,11,11,11,11,11,11,2.53721483280426,2.53721483280426,2.53721483280426,2.53721483280426,2.53721483280426,
AnnualFixedOperatingCost,Uganda,,UGSOV1F01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.180732426814837,0.179951725148176,0.179171023540068,0.17839032193196,0.1776096202653,0.176828918657192,0.176048217049084,0.210425969066921,0.897258489745,0.893243910472903,0.889229330899713,0.885214751627618,5.09746529531887,5.84984251175222,6.55301014595711,6.55301014595711,6.55301014595711,9.08197706829989,10.4520691893641,10.4520691893641,10.4520691893641,12.646666197758,13.4021687812842,13.6530935631905,13.6530935631905,13.4832909591819,13.4832909591819,13.4832909591819,13.4832909591819,13.4832909591819,
AnnualFixedOperatingCost,Uganda,,UGSOV4F01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.768984610433058,0.765662862490081,0.762341114796234,0.759019367102388,0.755697619159411,0.752375871465565,0.749054123771719,1.0666091421809,1.29210794232077,1.2863266988755,1.28054545499664,1.37555419413584,4.34212795077181,4.57672753417599,4.55578141325937,4.55578141325938,4.55578141325937,4.55578141325938,5.23470771417017,5.23470771417017,5.23470771417017,14.5,14.5,14.5,14.5,13.7775198585264,13.7775198585264,13.7775198585264,13.7775198585264,13.7775198585264,
AnnualFixedOperatingCost,Uganda,,UGUR00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AnnualFixedOperatingCost,Uganda,,UGWI25P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7514821651059,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,
